0 , 673041,  676178,  3137 
271 , 10498233,  10526508,  28275 , 1603876 
272 , 11300257,  11328559,  28302 , 1604075 
273 , 12102169,  12130501,  28332 , 1603854 
274 , 12904200,  12932564,  28364 , 1604094 
275 , 13706130,  13734520,  28390 , 1603886 
276 , 14508114,  14536532,  28418 , 1603996 
277 , 15310016,  15338465,  28449 , 1603835 
278 , 16112031,  16140511,  28480 , 1604061 
279 , 651901,  758438,  106537 , 8559092389 
280 , 1451693,  1558371,  106678 , 1599725 
281 , 2251267,  2358096,  106829 , 1599299 
282 , 3051001,  3157977,  106976 , 1599615 
283 , 3850593,  3957718,  107125 , 1599333 
284 , 4650318,  4757584,  107266 , 1599591 
285 , 5449866,  5557285,  107419 , 1599249 
286 , 6249648,  6357207,  107559 , 1599704 
287 , 7049171,  7156875,  107704 , 1599191 
288 , 7848957,  7956826,  107869 , 1599737 
289 , 8648482,  8756488,  108006 , 1599187 
290 , 9448293,  9556443,  108150 , 1599766 
291 , 10247853,  10356129,  108276 , 1599246 
292 , 11047651,  11156067,  108416 , 1599736 
293 , 11847238,  11955786,  108548 , 1599306 
294 , 12647040,  12755751,  108711 , 1599767 
295 , 13446584,  13555453,  108869 , 1599246 
296 , 14246364,  14355361,  108997 , 1599688 
297 , 15045938,  15155063,  109125 , 1599276 
298 , 15845651,  15954956,  109305 , 1599606 
299 , 16645243,  16754706,  109463 , 1599342 
300 , 111808,  160448,  48640 , 8556806899 
301 , 911601,  960286,  48685 , 1599631 
302 , 1712410,  1761155,  48745 , 1601678 
303 , 2512386,  2561187,  48801 , 1600008 
304 , 3313174,  3362032,  48858 , 1601633 
305 , 4113122,  4162022,  48900 , 1599938 
306 , 4913917,  4962872,  48955 , 1601645 
307 , 5713901,  5762888,  48987 , 1600000 
308 , 6514693,  6563735,  49042 , 1601639 
309 , 7314683,  7363778,  49095 , 1600033 
310 , 8115432,  8164581,  49149 , 1601552 
311 , 8915425,  8964623,  49198 , 1600035 
312 , 9716189,  9765440,  49251 , 1601581 
313 , 10516174,  10565477,  49303 , 1600022 
314 , 11316937,  11366292,  49355 , 1601578 
315 , 12116911,  12166318,  49407 , 1600000 
316 , 12917670,  12967124,  49454 , 1601565 
317 , 13717632,  13767137,  49505 , 1599975 
318 , 14518377,  14567941,  49564 , 1601549 
319 , 15318348,  15367957,  49609 , 1599987 
320 , 16119071,  16168732,  49661 , 1601498 
321 , 392739,  445744,  53005 , 8558485272 
322 , 1192513,  1245570,  53057 , 1599600 
323 , 1993335,  2046369,  53034 , 1601621 
324 , 2792824,  2845965,  53141 , 1599085 
325 , 3593875,  3647074,  53199 , 1602160 
326 , 4393337,  4446583,  53246 , 1598971 
327 , 5194381,  5247692,  53311 , 1602153 
328 , 5993826,  6047186,  53360 , 1598939 
329 , 6794859,  6848277,  53418 , 1602124 
330 , 7594304,  7647774,  53470 , 1598942 
331 , 8395361,  8448891,  53530 , 1602174 
332 , 9194810,  9248397,  53587 , 1598955 
333 , 9995872,  10049510,  53638 , 1602175 
334 , 10795300,  10848996,  53696 , 1598914 
335 , 11596334,  11650096,  53762 , 1602134 
336 , 12395785,  12449607,  53822 , 1598962 
337 , 13196827,  13250707,  53880 , 1602142 
338 , 13996260,  14050197,  53937 , 1598923 
339 , 14797316,  14851313,  53997 , 1602172 
340 , 15596755,  15650811,  54056 , 1598937 
341 , 16397794,  16451909,  54115 , 1602137 
342 , 322908,  342440,  19532 , 8557750237 
343 , 1127755,  1147306,  19551 , 1609713 
344 , 1932434,  1952009,  19575 , 1609382 
345 , 2737222,  2756821,  19599 , 1609600 
346 , 3541864,  3561487,  19623 , 1609308 
347 , 4346643,  4366283,  19640 , 1609575 
348 , 5151271,  5170931,  19660 , 1609276 
349 , 5955998,  5975684,  19686 , 1609480 
350 , 6760612,  6780317,  19705 , 1609247 
351 , 7565322,  7585051,  19729 , 1609444 
352 , 8369908,  8389658,  19750 , 1609193 
353 , 9174604,  9194377,  19773 , 1609415 
354 , 9979156,  9998951,  19795 , 1609126 
355 , 10783824,  10803642,  19818 , 1609359 
356 , 11588355,  11608194,  19839 , 1609083 
357 , 12393003,  12412863,  19860 , 1609317 
358 , 13197504,  13217383,  19879 , 1609021 
359 , 14002126,  14022028,  19902 , 1609267 
360 , 14806587,  14826514,  19927 , 1608947 
361 , 15611215,  15631162,  19947 , 1609276 
362 , 16415681,  16435650,  19969 , 1608954 
