Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  391 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 644259,  647378,  3119 
302 , 20138244,  20182935,  44691 , 1595929 
303 , 20935670,  20980411,  44741 , 1594902 
304 , 21733584,  21778360,  44776 , 1595863 
305 , 22531057,  22575865,  44808 , 1594978 
306 , 23328995,  23373836,  44841 , 1595909 
307 , 24126423,  24171309,  44886 , 1594901 
308 , 278743,  408547,  129804 , 8542324150 
309 , 1074722,  1204626,  129904 , 1592058 
310 , 1872049,  2002058,  130009 , 1594759 
311 , 2668014,  2798155,  130141 , 1592062 
312 , 3465177,  3595469,  130292 , 1594477 
313 , 4261222,  4391653,  130431 , 1592229 
314 , 5058534,  5189164,  130630 , 1594823 
315 , 5854460,  5985164,  130704 , 1591926 
316 , 6651804,  6782641,  130837 , 1594821 
317 , 7447798,  7578757,  130959 , 1592110 
318 , 8245026,  8376189,  131163 , 1594660 
319 , 9040951,  9172235,  131284 , 1591971 
320 , 9838215,  9969693,  131478 , 1594722 
321 , 10634227,  10765810,  131583 , 1592129 
322 , 11431645,  11563437,  131792 , 1595045 
323 , 12227535,  12359510,  131975 , 1591963 
324 , 13024966,  13157042,  132076 , 1594963 
325 , 13820814,  13953002,  132188 , 1591808 
326 , 14618093,  14750424,  132331 , 1594701 
327 , 15414051,  15546575,  132524 , 1592109 
328 , 16211352,  16344088,  132736 , 1594814 
329 , 17007245,  17140175,  132930 , 1591980 
330 , 17804599,  17937679,  133080 , 1594858 
331 , 18600639,  18733843,  133204 , 1592204 
332 , 19397903,  19531303,  133400 , 1594724 
333 , 20193829,  20327340,  133511 , 1591963 
334 , 20991090,  21124748,  133658 , 1594669 
335 , 21787085,  21920922,  133837 , 1592169 
336 , 22584248,  22718206,  133958 , 1594447 
337 , 23380294,  23514415,  134121 , 1592255 
338 , 24177583,  24311932,  134349 , 1594806 
339 , 108824,  180326,  71502 , 8541734227 
340 , 905838,  977412,  71574 , 1594100 
341 , 1702851,  1774527,  71676 , 1594128 
342 , 2499722,  2571481,  71759 , 1593825 
343 , 3297130,  3369038,  71908 , 1594965 
344 , 4093755,  4165655,  71900 , 1593242 
345 , 4891138,  4963116,  71978 , 1594844 
346 , 5687725,  5759738,  72013 , 1593209 
347 , 6485176,  6557328,  72152 , 1595041 
348 , 7281752,  7353946,  72194 , 1593194 
349 , 8079179,  8151426,  72247 , 1594907 
350 , 8875686,  8947996,  72310 , 1593077 
351 , 9673162,  9745541,  72379 , 1595021 
352 , 10469641,  10542060,  72419 , 1592998 
353 , 11267130,  11339639,  72509 , 1595068 
354 , 12063617,  12136192,  72575 , 1593040 
355 , 12861090,  12933739,  72649 , 1595020 
356 , 13657573,  13730287,  72714 , 1593031 
357 , 14455031,  14527808,  72777 , 1594979 
358 , 15251533,  15324372,  72839 , 1593066 
359 , 16049016,  16121928,  72912 , 1595039 
360 , 493430,  500318,  6888 , 8558757396 
361 , 1335830,  1342733,  6903 , 1684815 
362 , 2178046,  2184962,  6916 , 1684445 
363 , 3020040,  3026969,  6929 , 1684001 
364 , 3861878,  3868819,  6941 , 1683688 
365 , 4703521,  4710473,  6952 , 1683297 
366 , 5545014,  5551978,  6964 , 1682998 
367 , 6386301,  6393276,  6975 , 1682585 
368 , 7227434,  7234422,  6988 , 1682279 
369 , 8068390,  8075389,  6999 , 1681923 
370 , 8909179,  8916193,  7014 , 1681593 
371 , 9749797,  9756819,  7022 , 1681244 
372 , 10590254,  10597290,  7036 , 1680928 
373 , 11430505,  11437553,  7048 , 1680514 
374 , 12270593,  12277654,  7061 , 1680189 
375 , 13110542,  13117614,  7072 , 1679909 
376 , 13950306,  13957393,  7087 , 1679543 
377 , 14789906,  14797004,  7098 , 1679211 
378 , 15629294,  15636403,  7109 , 1678787 
379 , 16468572,  16475694,  7122 , 1678569 
