 0 , 831850,  835031,  3181 
234 , 5887387,  5910438,  23051 , 1634307 
235 , 6704220,  6727298,  23078 , 1633693 
236 , 7521368,  7544476,  23108 , 1634326 
237 , 8338198,  8361336,  23138 , 1633690 
238 , 9155333,  9178499,  23166 , 1634298 
239 , 9972135,  9995332,  23197 , 1633635 
240 , 10789254,  10812477,  23223 , 1634264 
241 , 11606055,  11629308,  23253 , 1633632 
242 , 12423142,  12446421,  23279 , 1634200 
243 , 13239928,  13263238,  23310 , 1633603 
244 , 14057005,  14080340,  23335 , 1634179 
245 , 14873758,  14897126,  23368 , 1633539 
246 , 15690835,  15714232,  23397 , 1634183 
247 , 16507577,  16531004,  23427 , 1633514 
248 , 261849,  294097,  32248 , 8557451957 
249 , 1077223,  1109502,  32279 , 1630779 
250 , 1891986,  1924302,  32316 , 1629563 
251 , 2707341,  2739694,  32353 , 1630747 
252 , 3522088,  3554478,  32390 , 1629531 
253 , 4337462,  4369883,  32421 , 1630779 
254 , 5152173,  5184636,  32463 , 1629464 
255 , 5967552,  6000051,  32499 , 1630794 
256 , 6782248,  6814782,  32534 , 1629427 
257 , 7597603,  7630178,  32575 , 1630751 
258 , 8412280,  8444893,  32613 , 1629392 
259 , 9227614,  9260261,  32647 , 1630702 
260 , 10042278,  10074964,  32686 , 1629367 
261 , 10857583,  10890306,  32723 , 1630647 
262 , 11672271,  11705034,  32763 , 1629416 
263 , 12487533,  12520333,  32800 , 1630561 
264 , 13302203,  13335037,  32834 , 1629374 
265 , 14117497,  14150369,  32872 , 1630626 
266 , 14932154,  14965065,  32911 , 1629353 
267 , 15747422,  15780368,  32946 , 1630571 
268 , 16562085,  16595070,  32985 , 1629365 
269 , 759031,  808675,  49644 , 8558345143 
270 , 1573644,  1623340,  49696 , 1629278 
271 , 2387571,  2437325,  49754 , 1627912 
272 , 3202152,  3251959,  49807 , 1629215 
273 , 4016066,  4065921,  49855 , 1627876 
274 , 4830644,  4880559,  49915 , 1629216 
275 , 5644552,  5694518,  49966 , 1627867 
276 , 6459110,  6509130,  50020 , 1629170 
277 , 7273011,  7323079,  50068 , 1627850 
278 , 8087542,  8137664,  50122 , 1629116 
279 , 8901460,  8951639,  50179 , 1627893 
280 , 9715998,  9766224,  50226 , 1629123 
281 , 10529889,  10580165,  50276 , 1627832 
282 , 11344421,  11394743,  50322 , 1629110 
283 , 12158316,  12208694,  50378 , 1627846 
284 , 12972846,  13023275,  50429 , 1629111 
285 , 13786737,  13837217,  50480 , 1627833 
286 , 14601265,  14651794,  50529 , 1629105 
287 , 15415159,  15465743,  50584 , 1627843 
288 , 16229679,  16280316,  50637 , 1629093 
289 , 17043583,  17094274,  50691 , 1627862 
290 , 329818,  567898,  238080 , 8556694451 
